Table Name Index System Call              Handler Address    Symbol                                                      
64bit        401                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        402                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        403                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        404                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        405                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        406                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        407                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        408                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        409                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        410                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        411                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        412                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        413                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        414                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        415                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        416                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        417                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        418                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        419                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        420                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        421                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        422                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        423                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        424                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        425                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        426                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        427                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        428                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        429                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
